,Unnamed: 0,smi,ID,mol,SA score,Mol wt,fitness value,prop
532831,5177523,N#CC1C=C(C=CN=1)OC1C=CC=CC=1,MCULE-7915323398,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1670>,1.91173836355916,196.209,2.74558,2.74558
494134,4707862,COC1N=C(N(C)C)C=CN=1,MCULE-5373811342,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1620>,2.432431105528,153.185,0.5512,0.5512
238106,3094605,[C@H](O)([C@H](C)NC)C1=CC=CC=C1,MCULE-1217859840,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F15D0>,2.56739476724345,165.236,1.3279,1.3279
9714,98922,C1C=C2C(=CC=1)C(=O)NN=C2C(N)=O,MCULE-2042892114,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1580>,1.98015987563297,189.174,0.0219999999999997,0.0219999999999997
172765,2272710,C1(=CC2C=CSC=2)C(=O)OC(C)=N1,MCULE-4662130615,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1530>,2.85621355458263,193.227,2.0642,2.0642
91293,1080268,C1(C)C(C)=CC=CC=1OCCNC,MCULE-9586335757,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F14E0>,1.7954628269319,179.263,1.90164,1.90164
269996,3407033,C(C)(CNN)=C,MCULE-1117931770,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1490>,3.37376131751693,86.138,0.0258000000000002,0.0258000000000002
557979,5440623,CCCC(=O)N(CCCO)CC,MCULE-8356996526,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1440>,2.09541656140784,173.256,1.0174,1.0174
269019,3402310,C12N(C)C=CC=C1N=C1C=CC=NC=21,MCULE-7081854637,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F13F0>,2.37446370013867,183.214,2.0731,2.0731
99796,1140295,S(C)(CCNC(C)=O)=O,MCULE-1283027669,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F13A0>,3.17961736577033,149.215,-0.499,-0.499
467563,4498621,CN1CCN(CCC#C)CC1,MCULE-7475696084,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1350>,2.2992564157017,152.241,0.2571,0.2571
469017,4502405,OC1C=C2C(CC#N)=CNC2=CC=1,MCULE-8562461389,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1300>,2.36899733836641,172.187,1.93958,1.93958
198877,2686354,C1(NCCCC(OC)=O)N=CC=CN=1,MCULE-7761658481,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F12B0>,2.00882789338445,195.222,0.8417,0.8417
128348,1601694,C(=O)(N(C)C)CCN1CCCC(C)C1,MCULE-8733971893,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1260>,2.47442211814996,198.31,1.1966,1.1966
258598,3329538,N(=O)(=O)C1=CC=CC=C1C1=CC=CC=C1,MCULE-2041482870,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1210>,1.47272417426009,199.209,3.2618,3.2618
154154,2071319,C1(=C(O)N=C(N=C1O)C)N(=O)=O,MCULE-3386292061,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F11C0>,3.03016091624655,171.112,0.10442,0.10442
377364,4146983,CCCC(N)C1C=CN=CC=1,MCULE-4773280702,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1170>,2.5118274766955,150.225,1.8815,1.8815
495651,4715420,O1C(C)=C(N(=O)=O)C(C(OC)=O)=N1,MCULE-4167294153,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F10D0>,2.54758861878711,186.123,0.67782,0.67782
592978,5793419,C1(=C(C=CC=C1O)O)C(NN)=O,MCULE-2353003906,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1080>,2.23840406140784,168.152,-0.2987,-0.2987
